STATE,DISTRICT,Year,pH,NO3
Gujarat,Bharuch,2023.0,7.974615384615385,17.73076923076923
Gujarat,Bhavnagar,2019.0,8.077142857142857,55.53333333333334
Gujarat,Bhavnagar,2020.0,7.95625,60.0096875
Gujarat,Bhavnagar,2021.0,8.164444444444445,74.0
Gujarat,Bhavnagar,2023.0,8.023928571428572,26.214285714285715
Gujarat,Botad,2021.0,8.354,59.2
Gujarat,Botad,2023.0,8.1675,19.875
Gujarat,Dahod,2020.0,7.9,7.4
Gujarat,Dahod,2021.0,7.9766666666666675,66.17777777777778
Gujarat,Dahod,2023.0,7.813571428571429,33.07142857142857
Gujarat,Devbhumi Dwarka,2021.0,8.026842105263157,33.6
Gujarat,Devbhumi Dwarka,2023.0,8.0068,39.96
Gujarat,Gandhinagar,2019.0,8.32,113.0
Gujarat,Gandhinagar,2020.0,7.4,107.0
Gujarat,Gandhinagar,2021.0,7.98,47.0
Gujarat,Gir Somnath,2020.0,7.2,8.0
Gujarat,Gir Somnath,2021.0,8.133076923076924,33.15384615384615
Gujarat,Gir Somnath,2023.0,8.012777777777778,18.27777777777778
Gujarat,Jamnagar,2019.0,7.745,39.19
Gujarat,Jamnagar,2020.0,7.37090909090909,46.8
Gujarat,Jamnagar,2021.0,8.021764705882353,63.48235294117647
Gujarat,Jamnagar,2023.0,8.0516,25.96
Gujarat,Junagadh,2019.0,7.576136363636365,47.690909090909095
Gujarat,Junagadh,2020.0,7.617543859649123,44.87719298245614
Gujarat,Junagadh,2021.0,8.0272,42.06
Gujarat,Junagadh,2023.0,7.786410256410257,23.128205128205128
Gujarat,Kachchh,2019.0,7.751153846153846,31.88076923076923
Gujarat,Kachchh,2020.0,7.889285714285714,26.678571428571427
Gujarat,Kachchh,2023.0,7.665675675675676,17.37837837837838
Gujarat,Kheda,2019.0,7.848571428571428,43.285714285714285
Gujarat,Kheda,2020.0,7.584615384615384,21.576923076923077
Gujarat,Kheda,2021.0,7.787272727272727,21.5
Gujarat,Kheda,2023.0,8.134,45.2
Gujarat,Mahesana,2019.0,8.3025,41.324999999999996
Gujarat,Mahesana,2020.0,7.286666666666666,33.153333333333336
Gujarat,Mahesana,2023.0,8.02,16.857142857142858
Gujarat,Mahisagar,2020.0,7.58,19.717000000000002
Gujarat,Mahisagar,2021.0,8.06909090909091,18.936363636363637
Gujarat,Mahisagar,2023.0,7.628,19.2
